2018-12-26_02:26:100/1574 (epoch 0), train_loss = 9.830, time/batch = 0.316
63/1574 (epoch 0), train_loss = 2.911, time/batch = 0.213
64/1574 (epoch 0), train_loss = 3.889, time/batch = 0.230
65/1574 (epoch 0), train_loss = 3.923, time/batch = 0.216
66/1574 (epoch 0), train_loss = 3.933, time/batch = 0.199
67/1574 (epoch 0), train_loss = 3.967, time/batch = 0.187
68/1574 (epoch 0), train_loss = 3.254, time/batch = 0.188
69/1574 (epoch 0), train_loss = 3.365, time/batch = 0.187
70/1574 (epoch 0), train_loss = 3.540, time/batch = 0.187
71/1574 (epoch 0), train_loss = 3.796, time/batch = 0.187
72/1574 (epoch 0), train_loss = 4.118, time/batch = 0.187
73/1574 (epoch 0), train_loss = 3.451, time/batch = 0.190
74/1574 (epoch 0), train_loss = 3.753, time/batch = 0.188
75/1574 (epoch 0), train_loss = 3.990, time/batch = 0.188
76/1574 (epoch 0), train_loss = 4.799, time/batch = 0.188
77/1574 (epoch 0), train_loss = 4.322, time/batch = 0.186
78/1574 (epoch 0), train_loss = 3.931, time/batch = 0.186
79/1574 (epoch 0), train_loss = 3.505, time/batch = 0.188
80/1574 (epoch 0), train_loss = 4.265, time/batch = 0.187
81/1574 (epoch 0), train_loss = 3.726, time/batch = 0.188
82/1574 (epoch 0), train_loss = 4.632, time/batch = 0.189
83/1574 (epoch 0), train_loss = 3.834, time/batch = 0.190
84/1574 (epoch 0), train_loss = 4.141, time/batch = 0.187
85/1574 (epoch 0), train_loss = 4.221, time/batch = 0.187
86/1574 (epoch 0), train_loss = 4.686, time/batch = 0.189
87/1574 (epoch 0), train_loss = 4.704, time/batch = 0.190
88/1574 (epoch 0), train_loss = 4.564, time/batch = 0.190
89/1574 (epoch 0), train_loss = 4.446, time/batch = 0.186
90/1574 (epoch 0), train_loss = 3.775, time/batch = 0.187
91/1574 (epoch 0), train_loss = 3.718, time/batch = 0.187
92/1574 (epoch 0), train_loss = 4.409, time/batch = 0.204
93/1574 (epoch 0), train_loss = 4.632, time/batch = 0.218
94/1574 (epoch 0), train_loss = 3.917, time/batch = 0.223
95/1574 (epoch 0), train_loss = 4.666, time/batch = 0.215
96/1574 (epoch 0), train_loss = 4.263, time/batch = 0.206
97/1574 (epoch 0), train_loss = 4.024, time/batch = 0.205
98/1574 (epoch 0), train_loss = 4.368, time/batch = 0.207
99/1574 (epoch 0), train_loss = 4.157, time/batch = 0.206
100/1574 (epoch 0), train_loss = 4.163, time/batch = 0.202
101/1574 (epoch 0), train_loss = 4.626, time/batch = 0.214
102/1574 (epoch 0), train_loss = 4.328, time/batch = 0.223
103/1574 (epoch 0), train_loss = 3.481, time/batch = 0.218
104/1574 (epoch 0), train_loss = 3.884, time/batch = 0.217
105/1574 (epoch 0), train_loss = 3.594, time/batch = 0.211
106/1574 (epoch 0), train_loss = 3.483, time/batch = 0.237
107/1574 (epoch 0), train_loss = 3.480, time/batch = 0.230
108/1574 (epoch 0), train_loss = 3.856, time/batch = 0.194
109/1574 (epoch 0), train_loss = 3.316, time/batch = 0.194
110/1574 (epoch 0), train_loss = 3.514, time/batch = 0.191
111/1574 (epoch 0), train_loss = 4.601, time/batch = 0.194
112/1574 (epoch 0), train_loss = 3.934, time/batch = 0.191
113/1574 (epoch 0), train_loss = 3.749, time/batch = 0.192
114/1574 (epoch 0), train_loss = 3.862, time/batch = 0.191
115/1574 (epoch 0), train_loss = 3.359, time/batch = 0.197
116/1574 (epoch 0), train_loss = 3.884, time/batch = 0.191
117/1574 (epoch 0), train_loss = 3.661, time/batch = 0.189
118/1574 (epoch 0), train_loss = 4.298, time/batch = 0.196
119/1574 (epoch 0), train_loss = 4.058, time/batch = 0.188
120/1574 (epoch 0), train_loss = 5.073, time/batch = 0.187
121/1574 (epoch 0), train_loss = 4.156, time/batch = 0.189
122/1574 (epoch 0), train_loss = 4.434, time/batch = 0.187
123/1574 (epoch 0), train_loss = 4.324, time/batch = 0.189
124/1574 (epoch 0), train_loss = 3.176, time/batch = 0.188
125/1574 (epoch 0), train_loss = 3.906, time/batch = 0.188
126/1574 (epoch 0), train_loss = 3.259, time/batch = 0.199
127/1574 (epoch 0), train_loss = 3.154, time/batch = 0.193
128/1574 (epoch 0), train_loss = 3.247, time/batch = 0.188
129/1574 (epoch 0), train_loss = 3.620, time/batch = 0.194
130/1574 (epoch 0), train_loss = 3.320, time/batch = 0.195
131/1574 (epoch 0), train_loss = 3.175, time/batch = 0.187
132/1574 (epoch 0), train_loss = 4.128, time/batch = 0.210
133/1574 (epoch 0), train_loss = 5.507, time/batch = 0.215
134/1574 (epoch 0), train_loss = 4.321, time/batch = 0.210
135/1574 (epoch 0), train_loss = 4.244, time/batch = 0.209
136/1574 (epoch 0), train_loss = 3.613, time/batch = 0.219
137/1574 (epoch 0), train_loss = 3.637, time/batch = 0.221
138/1574 (epoch 0), train_loss = 4.697, time/batch = 0.218
139/1574 (epoch 0), train_loss = 4.467, time/batch = 0.222
140/1574 (epoch 0), train_loss = 3.681, time/batch = 0.206
141/1574 (epoch 0), train_loss = 3.935, time/batch = 0.232
142/1574 (epoch 0), train_loss = 4.123, time/batch = 0.223
143/1574 (epoch 0), train_loss = 4.906, time/batch = 0.195
144/1574 (epoch 0), train_loss = 3.868, time/batch = 0.188
145/1574 (epoch 0), train_loss = 3.977, time/batch = 0.187
146/1574 (epoch 0), train_loss = 4.085, time/batch = 0.188
147/1574 (epoch 0), train_loss = 3.833, time/batch = 0.189
148/1574 (epoch 0), train_loss = 4.114, time/batch = 0.187
149/1574 (epoch 0), train_loss = 4.098, time/batch = 0.187
150/1574 (epoch 0), train_loss = 3.240, time/batch = 0.187
151/1574 (epoch 0), train_loss = 4.095, time/batch = 0.187
152/1574 (epoch 0), train_loss = 3.890, time/batch = 0.188
153/1574 (epoch 0), train_loss = 3.757, time/batch = 0.187
154/1574 (epoch 0), train_loss = 4.186, time/batch = 0.189
155/1574 (epoch 0), train_loss = 3.531, time/batch = 0.188
156/1574 (epoch 0), train_loss = 3.811, time/batch = 0.187
157/1574 (epoch 0), train_loss = 4.508, time/batch = 0.188
158/1574 (epoch 0), train_loss = 3.894, time/batch = 0.187
159/1574 (epoch 0), train_loss = 4.473, time/batch = 0.187
160/1574 (epoch 0), train_loss = 3.998, time/batch = 0.188
161/1574 (epoch 0), train_loss = 3.838, time/batch = 0.187
162/1574 (epoch 0), train_loss = 3.646, time/batch = 0.187
163/1574 (epoch 0), train_loss = 3.929, time/batch = 0.188
164/1574 (epoch 0), train_loss = 4.069, time/batch = 0.187
165/1574 (epoch 0), train_loss = 4.019, time/batch = 0.187
166/1574 (epoch 0), train_loss = 3.924, time/batch = 0.187
167/1574 (epoch 0), train_loss = 3.663, time/batch = 0.186
168/1574 (epoch 0), train_loss = 4.000, time/batch = 0.187
169/1574 (epoch 0), train_loss = 3.683, time/batch = 0.201
170/1574 (epoch 0), train_loss = 4.115, time/batch = 0.216
171/1574 (epoch 0), train_loss = 4.993, time/batch = 0.214
172/1574 (epoch 0), train_loss = 3.808, time/batch = 0.217
173/1574 (epoch 0), train_loss = 3.807, time/batch = 0.221
174/1574 (epoch 0), train_loss = 4.146, time/batch = 0.215
175/1574 (epoch 0), train_loss = 4.073, time/batch = 0.211
176/1574 (epoch 0), train_loss = 4.865, time/batch = 0.226
177/1574 (epoch 0), train_loss = 4.256, time/batch = 0.231
178/1574 (epoch 0), train_loss = 4.371, time/batch = 0.196
179/1574 (epoch 0), train_loss = 3.335, time/batch = 0.190
180/1574 (epoch 0), train_loss = 4.593, time/batch = 0.188
181/1574 (epoch 0), train_loss = 4.407, time/batch = 0.187
182/1574 (epoch 0), train_loss = 4.169, time/batch = 0.187
183/1574 (epoch 0), train_loss = 4.054, time/batch = 0.200
184/1574 (epoch 0), train_loss = 4.110, time/batch = 0.185
185/1574 (epoch 0), train_loss = 3.973, time/batch = 0.186
186/1574 (epoch 0), train_loss = 4.281, time/batch = 0.187
187/1574 (epoch 0), train_loss = 3.627, time/batch = 0.187
188/1574 (epoch 0), train_loss = 4.192, time/batch = 0.190
189/1574 (epoch 0), train_loss = 4.005, time/batch = 0.185
190/1574 (epoch 0), train_loss = 3.992, time/batch = 0.187
191/1574 (epoch 0), train_loss = 4.003, time/batch = 0.185
192/1574 (epoch 0), train_loss = 2.908, time/batch = 0.188
193/1574 (epoch 0), train_loss = 3.649, time/batch = 0.189
194/1574 (epoch 0), train_loss = 3.803, time/batch = 0.212
195/1574 (epoch 0), train_loss = 4.040, time/batch = 0.208
196/1574 (epoch 0), train_loss = 3.965, time/batch = 0.204
197/1574 (epoch 0), train_loss = 3.802, time/batch = 0.205
198/1574 (epoch 0), train_loss = 4.034, time/batch = 0.206
199/1574 (epoch 0), train_loss = 4.153, time/batch = 0.201
200/1574 (epoch 0), train_loss = 3.665, time/batch = 0.203
201/1574 (epoch 0), train_loss = 4.090, time/batch = 0.200
202/1574 (epoch 0), train_loss = 4.244, time/batch = 0.197
203/1574 (epoch 0), train_loss = 3.323, time/batch = 0.190
204/1574 (epoch 0), train_loss = 4.638, time/batch = 0.206
205/1574 (epoch 0), train_loss = 4.911, time/batch = 0.217
206/1574 (epoch 0), train_loss = 3.897, time/batch = 0.217
207/1574 (epoch 0), train_loss = 4.409, time/batch = 0.222
208/1574 (epoch 0), train_loss = 4.016, time/batch = 0.213
209/1574 (epoch 0), train_loss = 4.297, time/batch = 0.214
210/1574 (epoch 0), train_loss = 3.753, time/batch = 0.208
211/1574 (epoch 0), train_loss = 4.090, time/batch = 0.232
212/1574 (epoch 0), train_loss = 3.611, time/batch = 0.232
213/1574 (epoch 0), train_loss = 3.501, time/batch = 0.190
214/1574 (epoch 0), train_loss = 4.252, time/batch = 0.189
215/1574 (epoch 0), train_loss = 3.535, time/batch = 0.188
216/1574 (epoch 0), train_loss = 4.109, time/batch = 0.189
217/1574 (epoch 0), train_loss = 3.322, time/batch = 0.190
218/1574 (epoch 0), train_loss = 3.473, time/batch = 0.188
219/1574 (epoch 0), train_loss = 4.029, time/batch = 0.186
220/1574 (epoch 0), train_loss = 3.339, time/batch = 0.188
221/1574 (epoch 0), train_loss = 3.621, time/batch = 0.188
222/1574 (epoch 0), train_loss = 3.735, time/batch = 0.191
223/1574 (epoch 0), train_loss = 3.113, time/batch = 0.187
224/1574 (epoch 0), train_loss = 3.489, time/batch = 0.186
225/1574 (epoch 0), train_loss = 4.455, time/batch = 0.189
226/1574 (epoch 0), train_loss = 4.597, time/batch = 0.187
227/1574 (epoch 0), train_loss = 4.493, time/batch = 0.188
228/1574 (epoch 0), train_loss = 3.707, time/batch = 0.187
229/1574 (epoch 0), train_loss = 5.155, time/batch = 0.186
230/1574 (epoch 0), train_loss = 4.175, time/batch = 0.187
231/1574 (epoch 0), train_loss = 4.313, time/batch = 0.187
232/1574 (epoch 0), train_loss = 4.013, time/batch = 0.187
233/1574 (epoch 0), train_loss = 3.904, time/batch = 0.187
234/1574 (epoch 0), train_loss = 4.231, time/batch = 0.185
235/1574 (epoch 0), train_loss = 3.664, time/batch = 0.187
236/1574 (epoch 0), train_loss = 3.426, time/batch = 0.190
237/1574 (epoch 0), train_loss = 3.606, time/batch = 0.187
238/1574 (epoch 0), train_loss = 4.177, time/batch = 0.188
239/1574 (epoch 0), train_loss = 3.652, time/batch = 0.207
240/1574 (epoch 0), train_loss = 2.982, time/batch = 0.214
241/1574 (epoch 0), train_loss = 3.788, time/batch = 0.218
242/1574 (epoch 0), train_loss = 3.709, time/batch = 0.217
243/1574 (epoch 0), train_loss = 3.643, time/batch = 0.215
244/1574 (epoch 0), train_loss = 3.660, time/batch = 0.227
245/1574 (epoch 0), train_loss = 4.135, time/batch = 0.227
246/1574 (epoch 0), train_loss = 4.542, time/batch = 0.236
247/1574 (epoch 0), train_loss = 3.937, time/batch = 0.247
248/1574 (epoch 0), train_loss = 3.767, time/batch = 0.227
249/1574 (epoch 0), train_loss = 3.637, time/batch = 0.203
250/1574 (epoch 0), train_loss = 4.631, time/batch = 0.203
251/1574 (epoch 0), train_loss = 3.952, time/batch = 0.204
252/1574 (epoch 0), train_loss = 4.232, time/batch = 0.202
253/1574 (epoch 0), train_loss = 4.434, time/batch = 0.208
254/1574 (epoch 0), train_loss = 4.289, time/batch = 0.189
255/1574 (epoch 0), train_loss = 3.822, time/batch = 0.187
256/1574 (epoch 0), train_loss = 3.337, time/batch = 0.218
257/1574 (epoch 0), train_loss = 4.945, time/batch = 0.222
258/1574 (epoch 0), train_loss = 4.735, time/batch = 0.230
259/1574 (epoch 0), train_loss = 4.116, time/batch = 0.221
260/1574 (epoch 0), train_loss = 3.709, time/batch = 0.187
261/1574 (epoch 0), train_loss = 3.496, time/batch = 0.187
262/1574 (epoch 0), train_loss = 3.521, time/batch = 0.188
263/1574 (epoch 0), train_loss = 4.145, time/batch = 0.188
264/1574 (epoch 0), train_loss = 4.005, time/batch = 0.187
265/1574 (epoch 0), train_loss = 3.587, time/batch = 0.190
266/1574 (epoch 0), train_loss = 3.459, time/batch = 0.189
267/1574 (epoch 0), train_loss = 3.481, time/batch = 0.189
268/1574 (epoch 0), train_loss = 3.823, time/batch = 0.187
269/1574 (epoch 0), train_loss = 4.452, time/batch = 0.187
270/1574 (epoch 0), train_loss = 3.343, time/batch = 0.189
271/1574 (epoch 0), train_loss = 4.011, time/batch = 0.187
272/1574 (epoch 0), train_loss = 4.222, time/batch = 0.187
273/1574 (epoch 0), train_loss = 3.315, time/batch = 0.198
274/1574 (epoch 0), train_loss = 3.770, time/batch = 0.215
275/1574 (epoch 0), train_loss = 3.158, time/batch = 0.223
276/1574 (epoch 0), train_loss = 4.436, time/batch = 0.216
277/1574 (epoch 0), train_loss = 3.743, time/batch = 0.217
278/1574 (epoch 0), train_loss = 4.138, time/batch = 0.217
279/1574 (epoch 0), train_loss = 3.629, time/batch = 0.221
280/1574 (epoch 0), train_loss = 3.021, time/batch = 0.236
281/1574 (epoch 0), train_loss = 3.376, time/batch = 0.216
282/1574 (epoch 0), train_loss = 4.133, time/batch = 0.202
283/1574 (epoch 0), train_loss = 4.035, time/batch = 0.187
284/1574 (epoch 0), train_loss = 3.342, time/batch = 0.188
285/1574 (epoch 0), train_loss = 3.937, time/batch = 0.190
286/1574 (epoch 0), train_loss = 3.698, time/batch = 0.200
287/1574 (epoch 0), train_loss = 3.843, time/batch = 0.190
288/1574 (epoch 0), train_loss = 3.775, time/batch = 0.189
289/1574 (epoch 0), train_loss = 3.881, time/batch = 0.186
290/1574 (epoch 0), train_loss = 4.624, time/batch = 0.187
291/1574 (epoch 0), train_loss = 3.960, time/batch = 0.186
292/1574 (epoch 0), train_loss = 4.552, time/batch = 0.187
293/1574 (epoch 0), train_loss = 3.800, time/batch = 0.198
294/1574 (epoch 0), train_loss = 3.364, time/batch = 0.202
295/1574 (epoch 0), train_loss = 3.961, time/batch = 0.204
296/1574 (epoch 0), train_loss = 3.905, time/batch = 0.207
297/1574 (epoch 0), train_loss = 3.660, time/batch = 0.203
298/1574 (epoch 0), train_loss = 3.988, time/batch = 0.209
299/1574 (epoch 0), train_loss = 4.173, time/batch = 0.207
300/1574 (epoch 0), train_loss = 3.311, time/batch = 0.204
301/1574 (epoch 0), train_loss = 4.560, time/batch = 0.205
302/1574 (epoch 0), train_loss = 4.332, time/batch = 0.191
303/1574 (epoch 0), train_loss = 3.879, time/batch = 0.187
304/1574 (epoch 0), train_loss = 3.834, time/batch = 0.187
305/1574 (epoch 0), train_loss = 4.385, time/batch = 0.187
306/1574 (epoch 0), train_loss = 3.595, time/batch = 0.187
307/1574 (epoch 0), train_loss = 3.845, time/batch = 0.198
308/1574 (epoch 0), train_loss = 3.126, time/batch = 0.219
309/1574 (epoch 0), train_loss = 4.240, time/batch = 0.217
310/1574 (epoch 0), train_loss = 4.372, time/batch = 0.221
311/1574 (epoch 0), train_loss = 3.207, time/batch = 0.233
312/1574 (epoch 0), train_loss = 3.353, time/batch = 0.223
313/1574 (epoch 0), train_loss = 3.969, time/batch = 0.211
314/1574 (epoch 0), train_loss = 3.483, time/batch = 0.234
315/1574 (epoch 0), train_loss = 2.734, time/batch = 0.220
316/1574 (epoch 0), train_loss = 4.264, time/batch = 0.191
317/1574 (epoch 0), train_loss = 4.206, time/batch = 0.189
318/1574 (epoch 0), train_loss = 3.122, time/batch = 0.188
319/1574 (epoch 0), train_loss = 4.182, time/batch = 0.197
320/1574 (epoch 0), train_loss = 3.184, time/batch = 0.187
321/1574 (epoch 0), train_loss = 4.917, time/batch = 0.188
322/1574 (epoch 0), train_loss = 3.281, time/batch = 0.188
323/1574 (epoch 0), train_loss = 4.168, time/batch = 0.189
324/1574 (epoch 0), train_loss = 4.471, time/batch = 0.187
325/1574 (epoch 0), train_loss = 4.287, time/batch = 0.190
326/1574 (epoch 0), train_loss = 3.454, time/batch = 0.195
327/1574 (epoch 0), train_loss = 3.562, time/batch = 0.195
328/1574 (epoch 0), train_loss = 2.964, time/batch = 0.194
329/1574 (epoch 0), train_loss = 3.491, time/batch = 0.186
330/1574 (epoch 0), train_loss = 2.863, time/batch = 0.187
331/1574 (epoch 0), train_loss = 3.298, time/batch = 0.190
332/1574 (epoch 0), train_loss = 3.975, time/batch = 0.188
333/1574 (epoch 0), train_loss = 3.303, time/batch = 0.187
334/1574 (epoch 0), train_loss = 3.010, time/batch = 0.188
335/1574 (epoch 0), train_loss = 3.099, time/batch = 0.187
336/1574 (epoch 0), train_loss = 4.046, time/batch = 0.187
337/1574 (epoch 0), train_loss = 2.943, time/batch = 0.192
338/1574 (epoch 0), train_loss = 3.977, time/batch = 0.195
339/1574 (epoch 0), train_loss = 3.106, time/batch = 0.189
340/1574 (epoch 0), train_loss = 5.085, time/batch = 0.185
341/1574 (epoch 0), train_loss = 3.131, time/batch = 0.187
342/1574 (epoch 0), train_loss = 3.789, time/batch = 0.215
343/1574 (epoch 0), train_loss = 3.955, time/batch = 0.212
344/1574 (epoch 0), train_loss = 3.708, time/batch = 0.228
345/1574 (epoch 0), train_loss = 2.990, time/batch = 0.212
346/1574 (epoch 0), train_loss = 3.611, time/batch = 0.205
347/1574 (epoch 0), train_loss = 3.432, time/batch = 0.200
348/1574 (epoch 0), train_loss = 3.029, time/batch = 0.205
349/1574 (epoch 0), train_loss = 4.093, time/batch = 0.202
350/1574 (epoch 0), train_loss = 3.626, time/batch = 0.206
351/1574 (epoch 0), train_loss = 2.893, time/batch = 0.203
352/1574 (epoch 0), train_loss = 3.470, time/batch = 0.218
353/1574 (epoch 0), train_loss = 3.112, time/batch = 0.223
354/1574 (epoch 0), train_loss = 3.699, time/batch = 0.218
355/1574 (epoch 0), train_loss = 3.635, time/batch = 0.212
356/1574 (epoch 0), train_loss = 3.398, time/batch = 0.219
357/1574 (epoch 0), train_loss = 3.459, time/batch = 0.240
358/1574 (epoch 0), train_loss = 4.394, time/batch = 0.218
359/1574 (epoch 0), train_loss = 3.803, time/batch = 0.192
360/1574 (epoch 0), train_loss = 3.587, time/batch = 0.190
361/1574 (epoch 0), train_loss = 3.553, time/batch = 0.187
362/1574 (epoch 0), train_loss = 3.321, time/batch = 0.187
363/1574 (epoch 0), train_loss = 3.109, time/batch = 0.187
364/1574 (epoch 0), train_loss = 4.093, time/batch = 0.185
365/1574 (epoch 0), train_loss = 3.499, time/batch = 0.187
366/1574 (epoch 0), train_loss = 3.431, time/batch = 0.188
367/1574 (epoch 0), train_loss = 3.597, time/batch = 0.186
368/1574 (epoch 0), train_loss = 3.723, time/batch = 0.191
369/1574 (epoch 0), train_loss = 4.012, time/batch = 0.188
370/1574 (epoch 0), train_loss = 3.386, time/batch = 0.188
371/1574 (epoch 0), train_loss = 3.431, time/batch = 0.187
372/1574 (epoch 0), train_loss = 3.359, time/batch = 0.188
373/1574 (epoch 0), train_loss = 3.845, time/batch = 0.188
374/1574 (epoch 0), train_loss = 3.596, time/batch = 0.188
375/1574 (epoch 0), train_loss = 3.521, time/batch = 0.188
376/1574 (epoch 0), train_loss = 4.664, time/batch = 0.187
377/1574 (epoch 0), train_loss = 3.451, time/batch = 0.187
378/1574 (epoch 0), train_loss = 3.601, time/batch = 0.187
379/1574 (epoch 0), train_loss = 3.784, time/batch = 0.187
380/1574 (epoch 0), train_loss = 3.496, time/batch = 0.185
381/1574 (epoch 0), train_loss = 4.369, time/batch = 0.191
382/1574 (epoch 0), train_loss = 4.184, time/batch = 0.187
383/1574 (epoch 0), train_loss = 3.547, time/batch = 0.190
384/1574 (epoch 0), train_loss = 4.249, time/batch = 0.187
385/1574 (epoch 0), train_loss = 4.118, time/batch = 0.200
386/1574 (epoch 0), train_loss = 3.506, time/batch = 0.212
387/1574 (epoch 0), train_loss = 3.290, time/batch = 0.220
388/1574 (epoch 0), train_loss = 3.542, time/batch = 0.215
389/1574 (epoch 0), train_loss = 3.273, time/batch = 0.234
390/1574 (epoch 0), train_loss = 2.936, time/batch = 0.221
391/1574 (epoch 0), train_loss = 2.845, time/batch = 0.215
392/1574 (epoch 0), train_loss = 3.694, time/batch = 0.239
393/1574 (epoch 0), train_loss = 3.768, time/batch = 0.228
394/1574 (epoch 0), train_loss = 3.792, time/batch = 0.211
395/1574 (epoch 0), train_loss = 3.160, time/batch = 0.199
396/1574 (epoch 0), train_loss = 1.441, time/batch = 0.199
397/1574 (epoch 0), train_loss = 1.873, time/batch = 0.206
398/1574 (epoch 0), train_loss = 3.144, time/batch = 0.200
399/1574 (epoch 0), train_loss = 3.019, time/batch = 0.199
400/1574 (epoch 0), train_loss = 3.234, time/batch = 0.202
401/1574 (epoch 0), train_loss = 3.968, time/batch = 0.204
402/1574 (epoch 0), train_loss = 3.291, time/batch = 0.209
403/1574 (epoch 0), train_loss = 2.950, time/batch = 0.203
404/1574 (epoch 0), train_loss = 3.396, time/batch = 0.193
405/1574 (epoch 0), train_loss = 3.290, time/batch = 0.187
406/1574 (epoch 0), train_loss = 4.005, time/batch = 0.189
407/1574 (epoch 0), train_loss = 3.640, time/batch = 0.187
408/1574 (epoch 0), train_loss = 4.277, time/batch = 0.187
409/1574 (epoch 0), train_loss = 3.798, time/batch = 0.189
410/1574 (epoch 0), train_loss = 4.374, time/batch = 0.186
411/1574 (epoch 0), train_loss = 4.624, time/batch = 0.190
412/1574 (epoch 0), train_loss = 4.730, time/batch = 0.187
413/1574 (epoch 0), train_loss = 5.115, time/batch = 0.188
414/1574 (epoch 0), train_loss = 4.836, time/batch = 0.187
415/1574 (epoch 0), train_loss = 4.379, time/batch = 0.187
416/1574 (epoch 0), train_loss = 3.575, time/batch = 0.188
417/1574 (epoch 0), train_loss = 3.122, time/batch = 0.187
418/1574 (epoch 0), train_loss = 3.390, time/batch = 0.187
419/1574 (epoch 0), train_loss = 4.060, time/batch = 0.188
420/1574 (epoch 0), train_loss = 4.777, time/batch = 0.222
421/1574 (epoch 0), train_loss = 3.621, time/batch = 0.221
422/1574 (epoch 0), train_loss = 2.981, time/batch = 0.221
423/1574 (epoch 0), train_loss = 3.547, time/batch = 0.219
424/1574 (epoch 0), train_loss = 3.437, time/batch = 0.219
425/1574 (epoch 0), train_loss = 3.289, time/batch = 0.213
426/1574 (epoch 0), train_loss = 3.435, time/batch = 0.239
427/1574 (epoch 0), train_loss = 3.884, time/batch = 0.218
428/1574 (epoch 0), train_loss = 3.328, time/batch = 0.201
429/1574 (epoch 0), train_loss = 2.682, time/batch = 0.189
430/1574 (epoch 0), train_loss = 4.342, time/batch = 0.187
431/1574 (epoch 0), train_loss = 3.833, time/batch = 0.192
432/1574 (epoch 0), train_loss = 3.734, time/batch = 0.188
433/1574 (epoch 0), train_loss = 3.528, time/batch = 0.186
434/1574 (epoch 0), train_loss = 3.784, time/batch = 0.186
