2019-01-02_18:09:55data_dir: data/
batch_size: 120
win_size: 5
hidden_num: 100
word_dim: 300
num_epochs: 3
grad_clip: 10.00/10715 (epoch 0), train_loss = 11.781, time/batch = 0.797
139/10715 (epoch 0), train_loss = 3.822, time/batch = 0.543
140/10715 (epoch 0), train_loss = 3.610, time/batch = 0.535
141/10715 (epoch 0), train_loss = 2.824, time/batch = 0.548
142/10715 (epoch 0), train_loss = 2.699, time/batch = 0.534
143/10715 (epoch 0), train_loss = 3.202, time/batch = 0.549
144/10715 (epoch 0), train_loss = 2.873, time/batch = 0.547
145/10715 (epoch 0), train_loss = 3.413, time/batch = 0.530
146/10715 (epoch 0), train_loss = 3.233, time/batch = 0.572
147/10715 (epoch 0), train_loss = 3.326, time/batch = 0.539
148/10715 (epoch 0), train_loss = 2.928, time/batch = 0.536
149/10715 (epoch 0), train_loss = 2.847, time/batch = 0.531
150/10715 (epoch 0), train_loss = 3.604, time/batch = 0.536
151/10715 (epoch 0), train_loss = 3.611, time/batch = 0.569
152/10715 (epoch 0), train_loss = 3.288, time/batch = 0.556
153/10715 (epoch 0), train_loss = 2.890, time/batch = 0.537
154/10715 (epoch 0), train_loss = 3.045, time/batch = 0.565
155/10715 (epoch 0), train_loss = 2.435, time/batch = 0.547
156/10715 (epoch 0), train_loss = 2.716, time/batch = 0.552
157/10715 (epoch 0), train_loss = 3.294, time/batch = 0.550
158/10715 (epoch 0), train_loss = 2.442, time/batch = 0.547
159/10715 (epoch 0), train_loss = 3.098, time/batch = 0.541
160/10715 (epoch 0), train_loss = 3.367, time/batch = 0.536
161/10715 (epoch 0), train_loss = 3.297, time/batch = 0.602
162/10715 (epoch 0), train_loss = 2.757, time/batch = 0.558
163/10715 (epoch 0), train_loss = 2.151, time/batch = 0.557
164/10715 (epoch 0), train_loss = 3.450, time/batch = 0.550
165/10715 (epoch 0), train_loss = 2.888, time/batch = 0.559
166/10715 (epoch 0), train_loss = 3.134, time/batch = 0.563
167/10715 (epoch 0), train_loss = 3.269, time/batch = 0.555
168/10715 (epoch 0), train_loss = 3.526, time/batch = 0.594
169/10715 (epoch 0), train_loss = 3.434, time/batch = 0.568
170/10715 (epoch 0), train_loss = 2.694, time/batch = 0.559
171/10715 (epoch 0), train_loss = 3.405, time/batch = 0.578
172/10715 (epoch 0), train_loss = 2.613, time/batch = 0.612
173/10715 (epoch 0), train_loss = 3.392, time/batch = 0.558
174/10715 (epoch 0), train_loss = 2.465, time/batch = 0.549
175/10715 (epoch 0), train_loss = 2.734, time/batch = 0.567
176/10715 (epoch 0), train_loss = 2.778, time/batch = 0.549
177/10715 (epoch 0), train_loss = 2.571, time/batch = 0.546
178/10715 (epoch 0), train_loss = 3.350, time/batch = 0.536
179/10715 (epoch 0), train_loss = 3.510, time/batch = 0.549
180/10715 (epoch 0), train_loss = 2.920, time/batch = 0.566
181/10715 (epoch 0), train_loss = 3.338, time/batch = 0.580
182/10715 (epoch 0), train_loss = 2.762, time/batch = 0.571
183/10715 (epoch 0), train_loss = 3.015, time/batch = 0.562
184/10715 (epoch 0), train_loss = 2.992, time/batch = 0.608
185/10715 (epoch 0), train_loss = 3.123, time/batch = 0.559
186/10715 (epoch 0), train_loss = 2.866, time/batch = 0.580
187/10715 (epoch 0), train_loss = 3.224, time/batch = 0.563
188/10715 (epoch 0), train_loss = 3.212, time/batch = 0.578
189/10715 (epoch 0), train_loss = 3.373, time/batch = 0.557
190/10715 (epoch 0), train_loss = 4.381, time/batch = 0.551
191/10715 (epoch 0), train_loss = 3.273, time/batch = 0.566
192/10715 (epoch 0), train_loss = 2.569, time/batch = 0.547
193/10715 (epoch 0), train_loss = 3.263, time/batch = 0.590
194/10715 (epoch 0), train_loss = 2.808, time/batch = 0.584
195/10715 (epoch 0), train_loss = 3.032, time/batch = 0.569
196/10715 (epoch 0), train_loss = 2.419, time/batch = 0.614
197/10715 (epoch 0), train_loss = 3.092, time/batch = 0.577
198/10715 (epoch 0), train_loss = 2.939, time/batch = 0.617
199/10715 (epoch 0), train_loss = 3.594, time/batch = 0.556
200/10715 (epoch 0), train_loss = 2.822, time/batch = 0.576
201/10715 (epoch 0), train_loss = 2.677, time/batch = 0.559
202/10715 (epoch 0), train_loss = 3.241, time/batch = 0.548
203/10715 (epoch 0), train_loss = 3.128, time/batch = 0.547
204/10715 (epoch 0), train_loss = 2.825, time/batch = 0.546
205/10715 (epoch 0), train_loss = 2.513, time/batch = 0.560
206/10715 (epoch 0), train_loss = 3.343, time/batch = 0.565
207/10715 (epoch 0), train_loss = 2.485, time/batch = 0.572
208/10715 (epoch 0), train_loss = 3.267, time/batch = 0.575
209/10715 (epoch 0), train_loss = 3.106, time/batch = 0.575
210/10715 (epoch 0), train_loss = 3.034, time/batch = 0.547
211/10715 (epoch 0), train_loss = 3.188, time/batch = 0.536
212/10715 (epoch 0), train_loss = 2.991, time/batch = 0.536
213/10715 (epoch 0), train_loss = 3.882, time/batch = 0.589
214/10715 (epoch 0), train_loss = 2.810, time/batch = 0.564
215/10715 (epoch 0), train_loss = 2.824, time/batch = 0.596
216/10715 (epoch 0), train_loss = 2.536, time/batch = 0.567
217/10715 (epoch 0), train_loss = 3.538, time/batch = 0.572
218/10715 (epoch 0), train_loss = 3.801, time/batch = 0.581
219/10715 (epoch 0), train_loss = 3.243, time/batch = 0.558
220/10715 (epoch 0), train_loss = 2.914, time/batch = 0.568
221/10715 (epoch 0), train_loss = 3.358, time/batch = 0.551
222/10715 (epoch 0), train_loss = 2.973, time/batch = 0.540
223/10715 (epoch 0), train_loss = 2.956, time/batch = 0.543
224/10715 (epoch 0), train_loss = 3.239, time/batch = 0.545
225/10715 (epoch 0), train_loss = 2.998, time/batch = 0.537
226/10715 (epoch 0), train_loss = 2.723, time/batch = 0.608
227/10715 (epoch 0), train_loss = 2.867, time/batch = 0.561
228/10715 (epoch 0), train_loss = 3.369, time/batch = 0.588
229/10715 (epoch 0), train_loss = 3.093, time/batch = 0.520
230/10715 (epoch 0), train_loss = 2.673, time/batch = 0.547
231/10715 (epoch 0), train_loss = 3.109, time/batch = 0.523
232/10715 (epoch 0), train_loss = 3.151, time/batch = 0.533
233/10715 (epoch 0), train_loss = 2.832, time/batch = 0.568
234/10715 (epoch 0), train_loss = 2.905, time/batch = 0.531
235/10715 (epoch 0), train_loss = 3.204, time/batch = 0.545
236/10715 (epoch 0), train_loss = 2.502, time/batch = 0.553
237/10715 (epoch 0), train_loss = 3.549, time/batch = 0.555
238/10715 (epoch 0), train_loss = 3.055, time/batch = 0.553
239/10715 (epoch 0), train_loss = 3.330, time/batch = 0.555
240/10715 (epoch 0), train_loss = 3.446, time/batch = 0.585
241/10715 (epoch 0), train_loss = 2.970, time/batch = 0.559
242/10715 (epoch 0), train_loss = 3.159, time/batch = 0.599
243/10715 (epoch 0), train_loss = 3.000, time/batch = 0.579
244/10715 (epoch 0), train_loss = 3.008, time/batch = 0.643
245/10715 (epoch 0), train_loss = 2.530, time/batch = 0.560
246/10715 (epoch 0), train_loss = 2.383, time/batch = 0.587
247/10715 (epoch 0), train_loss = 3.062, time/batch = 0.555
248/10715 (epoch 0), train_loss = 2.726, time/batch = 0.558
249/10715 (epoch 0), train_loss = 3.137, time/batch = 0.554
250/10715 (epoch 0), train_loss = 3.146, time/batch = 0.570
251/10715 (epoch 0), train_loss = 3.078, time/batch = 0.596
252/10715 (epoch 0), train_loss = 3.357, time/batch = 0.543
253/10715 (epoch 0), train_loss = 3.862, time/batch = 0.529
254/10715 (epoch 0), train_loss = 3.280, time/batch = 0.530
255/10715 (epoch 0), train_loss = 3.150, time/batch = 0.580
256/10715 (epoch 0), train_loss = 3.160, time/batch = 0.614
257/10715 (epoch 0), train_loss = 3.283, time/batch = 0.579
258/10715 (epoch 0), train_loss = 2.813, time/batch = 0.561
259/10715 (epoch 0), train_loss = 2.738, time/batch = 0.563
260/10715 (epoch 0), train_loss = 2.624, time/batch = 0.563
261/10715 (epoch 0), train_loss = 2.189, time/batch = 0.568
262/10715 (epoch 0), train_loss = 3.121, time/batch = 0.554
263/10715 (epoch 0), train_loss = 3.798, time/batch = 0.567
264/10715 (epoch 0), train_loss = 3.032, time/batch = 0.575
265/10715 (epoch 0), train_loss = 2.938, time/batch = 0.570
266/10715 (epoch 0), train_loss = 2.998, time/batch = 0.554
267/10715 (epoch 0), train_loss = 3.078, time/batch = 0.578
268/10715 (epoch 0), train_loss = 2.987, time/batch = 0.558
269/10715 (epoch 0), train_loss = 3.322, time/batch = 0.585
270/10715 (epoch 0), train_loss = 3.507, time/batch = 0.555
271/10715 (epoch 0), train_loss = 2.657, time/batch = 0.547
272/10715 (epoch 0), train_loss = 3.034, time/batch = 0.581
273/10715 (epoch 0), train_loss = 2.628, time/batch = 0.580
274/10715 (epoch 0), train_loss = 3.263, time/batch = 0.692
275/10715 (epoch 0), train_loss = 2.943, time/batch = 0.632
276/10715 (epoch 0), train_loss = 3.060, time/batch = 0.700
277/10715 (epoch 0), train_loss = 2.483, time/batch = 0.676
278/10715 (epoch 0), train_loss = 3.066, time/batch = 0.681
279/10715 (epoch 0), train_loss = 3.093, time/batch = 0.666
280/10715 (epoch 0), train_loss = 3.211, time/batch = 0.626
281/10715 (epoch 0), train_loss = 2.922, time/batch = 0.644
282/10715 (epoch 0), train_loss = 2.870, time/batch = 0.614
283/10715 (epoch 0), train_loss = 3.103, time/batch = 0.672
284/10715 (epoch 0), train_loss = 3.611, time/batch = 0.596
285/10715 (epoch 0), train_loss = 2.811, time/batch = 0.614
286/10715 (epoch 0), train_loss = 3.022, time/batch = 0.608
287/10715 (epoch 0), train_loss = 2.765, time/batch = 0.582
288/10715 (epoch 0), train_loss = 3.148, time/batch = 0.563
289/10715 (epoch 0), train_loss = 2.815, time/batch = 0.562
290/10715 (epoch 0), train_loss = 3.177, time/batch = 0.584
291/10715 (epoch 0), train_loss = 2.163, time/batch = 0.609
292/10715 (epoch 0), train_loss = 3.170, time/batch = 0.621
293/10715 (epoch 0), train_loss = 2.740, time/batch = 0.689
294/10715 (epoch 0), train_loss = 3.209, time/batch = 0.538
295/10715 (epoch 0), train_loss = 3.329, time/batch = 0.618
296/10715 (epoch 0), train_loss = 2.609, time/batch = 0.634
297/10715 (epoch 0), train_loss = 2.792, time/batch = 0.642
298/10715 (epoch 0), train_loss = 3.623, time/batch = 0.623
299/10715 (epoch 0), train_loss = 2.627, time/batch = 0.545
300/10715 (epoch 0), train_loss = 3.258, time/batch = 0.537
301/10715 (epoch 0), train_loss = 3.837, time/batch = 0.628
302/10715 (epoch 0), train_loss = 2.652, time/batch = 0.604
303/10715 (epoch 0), train_loss = 2.953, time/batch = 0.656
304/10715 (epoch 0), train_loss = 2.576, time/batch = 0.674
305/10715 (epoch 0), train_loss = 1.942, time/batch = 0.670
306/10715 (epoch 0), train_loss = 2.536, time/batch = 0.643
307/10715 (epoch 0), train_loss = 3.361, time/batch = 0.595
308/10715 (epoch 0), train_loss = 2.052, time/batch = 0.635
309/10715 (epoch 0), train_loss = 2.524, time/batch = 0.617
310/10715 (epoch 0), train_loss = 3.055, time/batch = 0.601
311/10715 (epoch 0), train_loss = 3.523, time/batch = 0.676
312/10715 (epoch 0), train_loss = 2.980, time/batch = 0.658
313/10715 (epoch 0), train_loss = 2.663, time/batch = 0.601
314/10715 (epoch 0), train_loss = 2.722, time/batch = 0.632
315/10715 (epoch 0), train_loss = 2.898, time/batch = 0.622
316/10715 (epoch 0), train_loss = 2.853, time/batch = 0.595
317/10715 (epoch 0), train_loss = 3.185, time/batch = 0.549
318/10715 (epoch 0), train_loss = 3.395, time/batch = 0.549
319/10715 (epoch 0), train_loss = 3.637, time/batch = 0.557
320/10715 (epoch 0), train_loss = 2.511, time/batch = 0.535
321/10715 (epoch 0), train_loss = 2.486, time/batch = 0.529
322/10715 (epoch 0), train_loss = 2.510, time/batch = 0.530
323/10715 (epoch 0), train_loss = 2.599, time/batch = 0.544
324/10715 (epoch 0), train_loss = 3.245, time/batch = 0.529
325/10715 (epoch 0), train_loss = 3.330, time/batch = 0.540
326/10715 (epoch 0), train_loss = 2.800, time/batch = 0.540
327/10715 (epoch 0), train_loss = 2.787, time/batch = 0.531
328/10715 (epoch 0), train_loss = 3.191, time/batch = 0.545
329/10715 (epoch 0), train_loss = 3.516, time/batch = 0.539
330/10715 (epoch 0), train_loss = 2.472, time/batch = 0.527
331/10715 (epoch 0), train_loss = 3.476, time/batch = 0.543
332/10715 (epoch 0), train_loss = 2.923, time/batch = 0.521
333/10715 (epoch 0), train_loss = 2.999, time/batch = 0.521
334/10715 (epoch 0), train_loss = 2.619, time/batch = 0.536
335/10715 (epoch 0), train_loss = 2.884, time/batch = 0.551
336/10715 (epoch 0), train_loss = 3.209, time/batch = 0.558
337/10715 (epoch 0), train_loss = 2.794, time/batch = 0.534
338/10715 (epoch 0), train_loss = 3.028, time/batch = 0.552
339/10715 (epoch 0), train_loss = 2.099, time/batch = 0.523
340/10715 (epoch 0), train_loss = 2.696, time/batch = 0.526
341/10715 (epoch 0), train_loss = 3.170, time/batch = 0.543
342/10715 (epoch 0), train_loss = 2.414, time/batch = 0.542
343/10715 (epoch 0), train_loss = 3.223, time/batch = 0.540
344/10715 (epoch 0), train_loss = 3.397, time/batch = 0.535
345/10715 (epoch 0), train_loss = 3.168, time/batch = 0.542
346/10715 (epoch 0), train_loss = 3.104, time/batch = 0.535
347/10715 (epoch 0), train_loss = 2.192, time/batch = 0.554
348/10715 (epoch 0), train_loss = 2.914, time/batch = 0.534
349/10715 (epoch 0), train_loss = 3.482, time/batch = 0.537
350/10715 (epoch 0), train_loss = 3.701, time/batch = 0.546
351/10715 (epoch 0), train_loss = 2.835, time/batch = 0.522
352/10715 (epoch 0), train_loss = 3.006, time/batch = 0.531
353/10715 (epoch 0), train_loss = 2.692, time/batch = 0.538
354/10715 (epoch 0), train_loss = 3.695, time/batch = 0.522
355/10715 (epoch 0), train_loss = 2.790, time/batch = 0.523
356/10715 (epoch 0), train_loss = 3.188, time/batch = 0.529
357/10715 (epoch 0), train_loss = 2.493, time/batch = 0.541
358/10715 (epoch 0), train_loss = 3.367, time/batch = 0.544
359/10715 (epoch 0), train_loss = 2.717, time/batch = 0.561
360/10715 (epoch 0), train_loss = 3.116, time/batch = 0.552
361/10715 (epoch 0), train_loss = 3.103, time/batch = 0.536
362/10715 (epoch 0), train_loss = 2.463, time/batch = 0.545
363/10715 (epoch 0), train_loss = 2.963, time/batch = 0.534
364/10715 (epoch 0), train_loss = 3.607, time/batch = 0.516
365/10715 (epoch 0), train_loss = 2.841, time/batch = 0.508
366/10715 (epoch 0), train_loss = 3.049, time/batch = 0.520
367/10715 (epoch 0), train_loss = 3.070, time/batch = 0.555
368/10715 (epoch 0), train_loss = 2.799, time/batch = 0.535
369/10715 (epoch 0), train_loss = 2.702, time/batch = 0.543
370/10715 (epoch 0), train_loss = 2.490, time/batch = 0.531
371/10715 (epoch 0), train_loss = 2.999, time/batch = 0.524
372/10715 (epoch 0), train_loss = 2.934, time/batch = 0.535
373/10715 (epoch 0), train_loss = 3.127, time/batch = 0.525
374/10715 (epoch 0), train_loss = 2.833, time/batch = 0.526
375/10715 (epoch 0), train_loss = 2.471, time/batch = 0.531
376/10715 (epoch 0), train_loss = 3.410, time/batch = 0.534
377/10715 (epoch 0), train_loss = 3.200, time/batch = 0.544
378/10715 (epoch 0), train_loss = 2.484, time/batch = 0.538
379/10715 (epoch 0), train_loss = 2.691, time/batch = 0.542
380/10715 (epoch 0), train_loss = 2.349, time/batch = 0.535
381/10715 (epoch 0), train_loss = 3.080, time/batch = 0.543
382/10715 (epoch 0), train_loss = 3.377, time/batch = 0.571
383/10715 (epoch 0), train_loss = 2.324, time/batch = 0.536
384/10715 (epoch 0), train_loss = 3.464, time/batch = 0.548
385/10715 (epoch 0), train_loss = 3.664, time/batch = 0.519
386/10715 (epoch 0), train_loss = 2.907, time/batch = 0.530
387/10715 (epoch 0), train_loss = 2.801, time/batch = 0.524
388/10715 (epoch 0), train_loss = 2.987, time/batch = 0.513
389/10715 (epoch 0), train_loss = 3.123, time/batch = 0.541
390/10715 (epoch 0), train_loss = 2.951, time/batch = 0.548
391/10715 (epoch 0), train_loss = 2.476, time/batch = 0.538
392/10715 (epoch 0), train_loss = 2.975, time/batch = 0.544
393/10715 (epoch 0), train_loss = 3.603, time/batch = 0.515
394/10715 (epoch 0), train_loss = 3.125, time/batch = 0.566
395/10715 (epoch 0), train_loss = 2.410, time/batch = 0.630
396/10715 (epoch 0), train_loss = 2.763, time/batch = 0.608
397/10715 (epoch 0), train_loss = 3.392, time/batch = 0.545
398/10715 (epoch 0), train_loss = 2.826, time/batch = 0.525
399/10715 (epoch 0), train_loss = 2.785, time/batch = 0.560
400/10715 (epoch 0), train_loss = 2.575, time/batch = 0.621
401/10715 (epoch 0), train_loss = 2.897, time/batch = 0.554
402/10715 (epoch 0), train_loss = 3.055, time/batch = 0.616
403/10715 (epoch 0), train_loss = 2.941, time/batch = 0.551
404/10715 (epoch 0), train_loss = 2.559, time/batch = 0.587
405/10715 (epoch 0), train_loss = 2.947, time/batch = 0.548
406/10715 (epoch 0), train_loss = 3.246, time/batch = 0.556
407/10715 (epoch 0), train_loss = 3.056, time/batch = 0.549
408/10715 (epoch 0), train_loss = 3.169, time/batch = 0.566
409/10715 (epoch 0), train_loss = 2.441, time/batch = 0.566
410/10715 (epoch 0), train_loss = 2.714, time/batch = 0.568
411/10715 (epoch 0), train_loss = 2.944, time/batch = 0.541
412/10715 (epoch 0), train_loss = 2.916, time/batch = 0.570
413/10715 (epoch 0), train_loss = 2.727, time/batch = 0.551
414/10715 (epoch 0), train_loss = 3.063, time/batch = 0.637
415/10715 (epoch 0), train_loss = 3.193, time/batch = 0.656
416/10715 (epoch 0), train_loss = 3.246, time/batch = 0.590
417/10715 (epoch 0), train_loss = 3.078, time/batch = 0.608
418/10715 (epoch 0), train_loss = 2.656, time/batch = 0.619
419/10715 (epoch 0), train_loss = 2.766, time/batch = 0.663
420/10715 (epoch 0), train_loss = 3.634, time/batch = 0.603
421/10715 (epoch 0), train_loss = 3.727, time/batch = 0.587
422/10715 (epoch 0), train_loss = 2.922, time/batch = 0.644
423/10715 (epoch 0), train_loss = 3.199, time/batch = 0.560
424/10715 (epoch 0), train_loss = 2.555, time/batch = 0.543
425/10715 (epoch 0), train_loss = 2.511, time/batch = 0.575
426/10715 (epoch 0), train_loss = 2.722, time/batch = 0.614
427/10715 (epoch 0), train_loss = 4.019, time/batch = 0.638
428/10715 (epoch 0), train_loss = 2.272, time/batch = 0.620
429/10715 (epoch 0), train_loss = 2.433, time/batch = 0.540
430/10715 (epoch 0), train_loss = 3.373, time/batch = 0.552
431/10715 (epoch 0), train_loss = 3.166, time/batch = 0.568
